time,label
35.974251,200
6874.457327,300
10874.149284,100
13873.921384,500
17873.577722,100
20873.339257,500
24873.037251,100
27872.811162,400
31872.468558,100
34872.177568,500
38871.957366,100
41871.665774,400
45871.32966,100
48871.087117,200
52870.864803,100
55870.599925,400
59870.226077,100
62869.980217,500
66869.726809,100
69869.467517,300
73869.129137,100
76868.864712,200
80868.549727,100
83868.265228,500
87868.024197,100
90867.760074,200
94867.429393,100
97867.203605,500
101866.933596,100
104866.610913,500
108866.31253,100
111866.04886,300
115865.765116,100
118865.480468,400
122865.195366,100
125864.952372,500
129864.657611,100
132864.422768,400
136864.161059,100
139863.878675,400
143863.495017,100
146863.312243,500
150862.991523,100
153862.747474,300
157862.361704,100
160862.163536,400
164861.857757,100
167861.592426,400
171861.311248,100
174861.097988,200
178860.745723,100
181860.494278,400
185860.233929,100
188860.018103,200
192859.608636,100
195859.340136,500
199859.075259,100
202858.804646,200
206858.484529,100
209858.245159,400
213857.953114,100
216857.685972,300
220857.363441,100
223857.159085,300
227856.826893,100
230856.568052,200
234856.314948,100
237856.014451,400
241855.894917,100
244855.495563,300
248855.159447,100
251854.943169,400
255854.604789,100
258854.377191,400
262854.019643,100
265853.816194,300
269853.56022,100
272853.318436,400
276852.865049,100
279852.660241,200
283852.355668,100
286852.134409,500
290851.819726,100
293851.540057,200
297851.272614,100
300851.006529,400
304850.704372,100
307850.422591,200
311850.081948,100
314849.880611,200
318849.533478,100
321849.301653,200
325849.004779,100
328848.833476,500
332848.434876,100
335848.200185,400
339848.022845,100
342847.668165,500
346847.355746,100
349847.09751,200
353846.796862,100
356846.523381,500
360846.224997,100
363846.000267,500
367845.690413,100
370845.405764,500
374845.090779,100
377844.89895,400
381844.580191,100
384844.319689,500
388843.970898,100
391843.769862,200
395843.438878,100
398843.234372,300
402842.853733,100
405842.649075,500
409842.301187,100
412842.089888,400
416841.760867,100
419841.528138,500
423841.196852,100
426840.864057,400
430840.644004,100
433840.373392,300
437840.087535,100
440839.841222,400
444839.524274,100
447839.261812,300
451838.966144,100
454838.74232,300
458838.409374,100
461838.23792,200
465837.871468,100
468837.590289,500
472837.328733,100
475837.070647,300
479836.734683,100
482836.528364,200
486836.241754,100
489836.017325,500
493835.63729,100
496835.354904,200
500835.071312,100
503834.837827,400
507834.524351,100
510834.287395,400
514833.935281,100
517833.728662,400
521833.373831,100
524833.138234,200
528832.805137,100
531832.619346,300
535832.282777,100
538832.059857,200
542831.714988,100
545831.455545,300
549831.194289,100
552830.900283,200
556830.605974,100
559830.342606,200
563830.039845,100
